20230414_18:29:30 -  App Detail error for ai.replika.app on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:31:12 -  App Detail error for app.kids360.parent on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:31:12 -  App Detail error for app.kids360.parent on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:31:43 -  App Detail error for app.plant.identification on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:31:43 -  App Detail error for app.plant.identification on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:32:17 -  App Detail error for io.wifimap.wifimap on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:32:17 -  App Detail error for io.wifimap.wifimap on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:33:59 -  App Detail error for asav.roomtemprature on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:33:59 -  App Detail error for asav.roomtemprature on detail video_link: list index out of range 
20230414_18:33:59 -  App Detail error for asav.roomtemprature on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:33:59 -  App Detail error for asav.roomtemprature on detail developer_address: list index out of range 
20230414_18:34:26 -  App Detail error for altergames.carlauncher on detail video_link: list index out of range 
20230414_18:34:26 -  App Detail error for altergames.carlauncher on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:34:59 -  App Detail error for com.accurate.forecast.live.weather.channel on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:34:59 -  App Detail error for com.accurate.forecast.live.weather.channel on detail published_date: 'NoneType' object is not subscriptable 
20230414_18:34:59 -  App Detail error for com.accurate.forecast.live.weather.channel on detail published_timestamp: 'NoneType' object is not subscriptable 
20230414_18:34:59 -  App Detail error for com.accurate.forecast.live.weather.channel on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:34:59 -  App Detail error for com.accurate.forecast.live.weather.channel on detail developer_address: list index out of range 
20230414_18:35:34 -  App Detail error for com.mm.shan on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:36:58 -  App Detail error for com.topRingtones.TikTok on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_18:36:58 -  App Detail error for com.topRingtones.TikTok on detail video_link: 'NoneType' object is not subscriptable 
20230414_18:36:58 -  App Detail error for com.topRingtones.TikTok on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_18:36:58 -  App Detail error for com.topRingtones.TikTok on detail developer_address: list index out of range 
