20230414_16:22:10 -  App Detail error for ai.replika.app on detail video_link: 'NoneType' object is not subscriptable 
20230414_16:22:37 -  App Detail error for app.kids360.parent on detail video_link: 'NoneType' object is not subscriptable 
20230414_16:22:37 -  App Detail error for app.kids360.parent on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_16:23:03 -  App Detail error for app.plant.identification on detail video_link: 'NoneType' object is not subscriptable 
20230414_16:23:03 -  App Detail error for app.plant.identification on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_16:23:30 -  App Detail error for io.wifimap.wifimap on detail video_link: 'NoneType' object is not subscriptable 
20230414_16:23:30 -  App Detail error for io.wifimap.wifimap on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:51:40 -  App Detail error for asav.roomtemprature on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:51:40 -  App Detail error for asav.roomtemprature on detail video_link: list index out of range 
20230414_17:51:40 -  App Detail error for asav.roomtemprature on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:51:40 -  App Detail error for asav.roomtemprature on detail developer_address: list index out of range 
20230414_17:52:06 -  App Detail error for altergames.carlauncher on detail video_link: list index out of range 
20230414_17:52:06 -  App Detail error for altergames.carlauncher on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:52:32 -  App Detail error for com.accurate.forecast.live.weather.channel on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:52:32 -  App Detail error for com.accurate.forecast.live.weather.channel on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:52:32 -  App Detail error for com.accurate.forecast.live.weather.channel on detail developer_address: list index out of range 
20230414_17:53:23 -  App Detail error for com.topRingtones.TikTok on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:53:23 -  App Detail error for com.topRingtones.TikTok on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:53:23 -  App Detail error for com.topRingtones.TikTok on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:53:23 -  App Detail error for com.topRingtones.TikTok on detail developer_address: list index out of range 
20230414_17:53:50 -  App Detail error for com.tj.dslrprofessional.hdcamera on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:53:50 -  App Detail error for com.tj.dslrprofessional.hdcamera on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:54:16 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:54:16 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:54:16 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:54:16 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail developer_address: list index out of range 
20230414_17:54:43 -  App Detail error for com.dressup.avatar.yoyo.doll on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:55:09 -  App Detail error for com.sibche.aspardproject.app on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:55:09 -  App Detail error for com.sibche.aspardproject.app on detail video_link: list index out of range 
20230414_17:55:09 -  App Detail error for com.sibche.aspardproject.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:55:09 -  App Detail error for com.sibche.aspardproject.app on detail developer_address: list index out of range 
20230414_17:55:35 -  App Detail error for com.RenownEntertainment.Bowling on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:56:02 -  App Detail error for com.meesho.supply on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:56:02 -  App Detail error for com.meesho.supply on detail video_link: list index out of range 
20230414_17:56:02 -  App Detail error for com.meesho.supply on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:56:02 -  App Detail error for com.meesho.supply on detail os: 'NoneType' object is not subscriptable 
20230414_17:56:02 -  App Detail error for com.meesho.supply on detail developer_address: list index out of range 
20230414_17:56:02 -  App Detail error for com.meesho.supply on detail app_version: 'NoneType' object is not subscriptable 
20230414_17:56:27 -  App Detail error for com.relevantmobile.texasroadhouse on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:56:27 -  App Detail error for com.relevantmobile.texasroadhouse on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:56:27 -  App Detail error for com.relevantmobile.texasroadhouse on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:56:27 -  App Detail error for com.relevantmobile.texasroadhouse on detail developer_address: list index out of range 
20230414_17:56:53 -  App Detail error for com.memsgroupinc.fishbox on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:56:53 -  App Detail error for com.memsgroupinc.fishbox on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:57:19 -  App Detail error for com.pnc.ecommerce.mobile on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:57:19 -  App Detail error for com.pnc.ecommerce.mobile on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:57:19 -  App Detail error for com.pnc.ecommerce.mobile on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:57:19 -  App Detail error for com.pnc.ecommerce.mobile on detail developer_address: list index out of range 
20230414_17:57:45 -  App Detail error for com.rmtheis.fireguard on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:57:45 -  App Detail error for com.rmtheis.fireguard on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:58:12 -  App Detail error for com.room.temperature.meter on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:58:12 -  App Detail error for com.room.temperature.meter on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:58:12 -  App Detail error for com.room.temperature.meter on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail video_link: 'NoneType' object is not subscriptable 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail os: 'NoneType' object is not subscriptable 
20230414_17:58:38 -  App Detail error for com.taxsee.taxsee on detail developer_address: list index out of range 
