20230414_20:25:20 -  App Detail error for ai.replika.app on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:25:45 -  App Detail error for app.kids360.parent on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:25:45 -  App Detail error for app.kids360.parent on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:33:47 -  App Detail error for app.plant.identification on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:33:47 -  App Detail error for app.plant.identification on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:09:39 -  App Detail error for io.wifimap.wifimap on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:09:39 -  App Detail error for io.wifimap.wifimap on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:11:32 -  App Detail error for asav.roomtemprature on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_21:11:32 -  App Detail error for asav.roomtemprature on detail video_link: list index out of range 
20230414_21:11:32 -  App Detail error for asav.roomtemprature on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:11:32 -  App Detail error for asav.roomtemprature on detail developer_address: list index out of range 
20230414_21:11:57 -  App Detail error for altergames.carlauncher on detail video_link: list index out of range 
20230414_21:11:58 -  App Detail error for altergames.carlauncher on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:12:30 -  App Detail error for com.accurate.forecast.live.weather.channel on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:12:30 -  App Detail error for com.accurate.forecast.live.weather.channel on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:12:30 -  App Detail error for com.accurate.forecast.live.weather.channel on detail developer_address: list index out of range 
20230414_21:14:21 -  App Detail error for com.topRingtones.TikTok on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_21:14:21 -  App Detail error for com.topRingtones.TikTok on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:14:21 -  App Detail error for com.topRingtones.TikTok on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:14:21 -  App Detail error for com.topRingtones.TikTok on detail developer_address: list index out of range 
20230414_21:15:01 -  App Detail error for com.tj.dslrprofessional.hdcamera on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:15:01 -  App Detail error for com.tj.dslrprofessional.hdcamera on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:15:44 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_21:15:44 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail video_link: 'NoneType' object is not subscriptable 
20230414_21:15:44 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:15:44 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail developer_address: list index out of range 
20230414_21:16:28 -  App Detail error for com.dressup.avatar.yoyo.doll on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:17:50 -  App Detail error for com.sibche.aspardproject.app on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_21:17:50 -  App Detail error for com.sibche.aspardproject.app on detail video_link: list index out of range 
20230414_21:17:50 -  App Detail error for com.sibche.aspardproject.app on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:17:51 -  App Detail error for com.sibche.aspardproject.app on detail developer_address: list index out of range 
20230414_21:18:39 -  App Detail error for com.RenownEntertainment.Bowling on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_21:19:46 -  App Detail error for com.meesho.supply on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_21:19:46 -  App Detail error for com.meesho.supply on detail video_link: list index out of range 
20230414_21:19:46 -  App Detail error for com.meesho.supply on detail pegi_detail: 'NoneType' object is not subscriptable 
