20230414_20:08:53 -  App Detail error for ai.replika.app on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:09:19 -  App Detail error for app.kids360.parent on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:09:19 -  App Detail error for app.kids360.parent on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:09:46 -  App Detail error for app.plant.identification on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:09:46 -  App Detail error for app.plant.identification on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:10:12 -  App Detail error for io.wifimap.wifimap on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:10:12 -  App Detail error for io.wifimap.wifimap on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:11:08 -  App Detail error for asav.roomtemprature on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:11:08 -  App Detail error for asav.roomtemprature on detail video_link: list index out of range 
20230414_20:11:08 -  App Detail error for asav.roomtemprature on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:11:08 -  App Detail error for asav.roomtemprature on detail developer_address: list index out of range 
20230414_20:11:32 -  App Detail error for altergames.carlauncher on detail video_link: list index out of range 
20230414_20:11:32 -  App Detail error for altergames.carlauncher on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:11:55 -  App Detail error for com.accurate.forecast.live.weather.channel on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:11:55 -  App Detail error for com.accurate.forecast.live.weather.channel on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:11:55 -  App Detail error for com.accurate.forecast.live.weather.channel on detail developer_address: list index out of range 
20230414_20:12:41 -  App Detail error for com.topRingtones.TikTok on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:12:41 -  App Detail error for com.topRingtones.TikTok on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:12:41 -  App Detail error for com.topRingtones.TikTok on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:12:41 -  App Detail error for com.topRingtones.TikTok on detail developer_address: list index out of range 
20230414_20:13:04 -  App Detail error for com.tj.dslrprofessional.hdcamera on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:13:04 -  App Detail error for com.tj.dslrprofessional.hdcamera on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:13:26 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail price_inapp: 'NoneType' object is not subscriptable 
20230414_20:13:26 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail video_link: 'NoneType' object is not subscriptable 
20230414_20:13:26 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail pegi_detail: 'NoneType' object is not subscriptable 
20230414_20:13:26 -  App Detail error for beauty.selfiecamera.beautycam.youbeautymakeup on detail developer_address: list index out of range 
