20230328_02:22:53 -  App Detail error for com.booking on detail price_inapp: 'NoneType' object is not subscriptable 
20230328_02:22:54 -  App Detail error for com.booking on detail video_link: 'NoneType' object is not subscriptable 
20230328_02:22:54 -  App Detail error for com.booking on detail pegi_detail: 'NoneType' object is not subscriptable 
20230328_02:22:54 -  App Detail error for com.booking on detail os: 'NoneType' object is not subscriptable 
20230328_02:22:54 -  App Detail error for com.booking on detail developer_address: list index out of range 
20230328_02:22:54 -  App Detail error for com.booking on detail app_version: 'NoneType' object is not subscriptable 
20230328_02:22:54 -  App Detail error for com.jio.myjio on detail price_inapp: 'NoneType' object is not subscriptable 
20230328_02:22:54 -  App Detail error for com.jio.myjio on detail video_link: 'NoneType' object is not subscriptable 
20230328_02:22:54 -  App Detail error for com.jio.myjio on detail pegi_detail: 'NoneType' object is not subscriptable 
20230328_02:22:55 -  App Detail error for com.smartsecurityxzt on detail price_inapp: 'NoneType' object is not subscriptable 
20230328_02:22:55 -  App Detail error for com.smartsecurityxzt on detail video_link: 'NoneType' object is not subscriptable 
20230328_02:22:55 -  App Detail error for com.smartsecurityxzt on detail pegi_detail: 'NoneType' object is not subscriptable 
20230328_02:22:55 -  App Detail error for live.wallpaper.livephoto.pic.picture.dope.anime.cool on detail price_inapp: 'NoneType' object is not subscriptable 
20230328_02:22:55 -  App Detail error for live.wallpaper.livephoto.pic.picture.dope.anime.cool on detail video_link: 'NoneType' object is not subscriptable 
20230328_02:22:55 -  App Detail error for live.wallpaper.livephoto.pic.picture.dope.anime.cool on detail developer_address: list index out of range 
20230328_02:22:56 -  App Detail error for com.fedex.ida.android on detail price_inapp: 'NoneType' object is not subscriptable 
20230328_02:22:56 -  App Detail error for com.fedex.ida.android on detail video_link: list index out of range 
20230328_02:22:56 -  App Detail error for com.fedex.ida.android on detail pegi_detail: 'NoneType' object is not subscriptable 
20230328_02:22:56 -  App Detail error for com.fedex.ida.android on detail developer_address: list index out of range 
20230328_02:22:56 -  App Detail error for com.hair.race.puzzle on detail price_inapp: 'NoneType' object is not subscriptable 
20230328_02:22:56 -  App Detail error for com.hair.race.puzzle on detail video_link: 'NoneType' object is not subscriptable 
20230328_02:22:56 -  App Detail error for com.hair.race.puzzle on detail developer_address: list index out of range 
20230328_02:22:57 -  App Detail error for com.ups.mobile.android on detail price_inapp: 'NoneType' object is not subscriptable 
20230328_02:22:57 -  App Detail error for com.ups.mobile.android on detail video_link: 'NoneType' object is not subscriptable 
20230328_02:22:57 -  App Detail error for com.ups.mobile.android on detail pegi_detail: 'NoneType' object is not subscriptable 
20230328_02:22:57 -  App Detail error for com.ups.mobile.android on detail developer_address: list index out of range 
20230328_02:22:58 -  App Detail error for com.uuyu.carflygame on detail price_inapp: 'NoneType' object is not subscriptable 
20230328_02:22:58 -  App Detail error for com.uuyu.carflygame on detail video_link: 'NoneType' object is not subscriptable 
20230328_02:22:58 -  App Detail error for com.uuyu.carflygame on detail pegi_detail: 'NoneType' object is not subscriptable 
20230328_02:22:58 -  App Detail error for com.wf.wellsfargomobile on detail price_inapp: 'NoneType' object is not subscriptable 
20230328_02:22:58 -  App Detail error for com.wf.wellsfargomobile on detail video_link: 'NoneType' object is not subscriptable 
20230328_02:22:58 -  App Detail error for com.wf.wellsfargomobile on detail pegi_detail: 'NoneType' object is not subscriptable 
20230328_02:22:58 -  App Detail error for com.wf.wellsfargomobile on detail developer_address: list index out of range 
20230328_02:22:59 -  App Detail error for com.family.locator.find.my.kids on detail video_link: 'NoneType' object is not subscriptable 
20230328_02:22:59 -  App Detail error for com.family.locator.find.my.kids on detail pegi_detail: 'NoneType' object is not subscriptable 
20230328_02:22:59 -  App Detail error for com.family.locator.find.my.kids on detail developer_address: list index out of range 
